Year DJF JFM FMA MAM AMJ MJJ JJA JAS ASO SON OND NDJ
1994 0.1 0.0 0.0 0.2 0.3 0.2 0.3 0.3 0.5 0.7 0.9 1.0
1995 0.9 0.7 0.5 0.2 0.0 -0.1 -0.3 -0.5 -0.8 -1.0 -1.0 -1.0
1996 -0.9 -0.7 -0.5 -0.4 -0.2 -0.2 -0.2 -0.3 -0.3 -0.3 -0.4 -0.4
1997 -0.4 -0.3 0.0 0.3 0.7 1.1 1.5 1.8 2.0 2.2 2.3 2.4
1998 2.2 1.9 1.4 1.0 0.4 -0.1 -0.6 -0.8 -1.0 -1.1 -1.3 -1.5
1999 -1.5 -1.2 -0.9 -0.8 -0.8 -0.8 -0.9 -0.9 -1.0 -1.1 -1.3 -1.5
Year DJF JFM FMA MAM AMJ MJJ JJA JAS ASO SON OND NDJ
2000 -1.5 -1.3 -1.0 -0.8 -0.7 -0.6 -0.5 -0.4 -0.4 -0.5 -0.8 -0.8
2001 -0.8 -0.5 -0.4 -0.3 -0.2 -0.1 0.0 -0.1 -0.1 -0.3 -0.3 -0.3
2002 -0.1 0.1 0.1 0.2 0.3 0.5 0.6 0.6 0.8 1.0 1.2 1.1
2003 0.9 0.6 0.4 0.0 -0.2 -0.1 0.1 0.1 0.2 0.2 0.3 0.3
2004 0.3 0.3 0.2 0.1 0.1 0.2 0.4 0.5 0.6 0.6 0.6 0.7
2005 0.6 0.6 0.4 0.4 0.3 0.1 0.0 -0.1 -0.1 -0.3 -0.6 -0.8
2006 -0.9 -0.8 -0.6 -0.4 -0.2 0.0 0.1 0.3 0.5 0.7 0.9 0.9
2007 0.6 0.2 -0.1 -0.3 -0.3 -0.4 -0.5 -0.8 -1.0 -1.4 -1.6 -1.7
2008 -1.8 -1.6 -1.4 -1.0 -0.8 -0.6 -0.3 -0.2 -0.2 -0.4 -0.6 -0.8
2009 -0.9 -0.8 -0.6 -0.3 0.0 0.3 0.5 0.6 0.7 0.9 1.3 1.5
Year DJF JFM FMA MAM AMJ MJJ JJA JAS ASO SON OND NDJ
2010 1.5 1.2 0.9 0.4 -0.2 -0.7 -1.0 -1.2 -1.4 -1.5 -1.6 -1.5
2011 -1.3 -1.1 -0.8 -0.7 -0.5 -0.3 -0.4 -0.5 -0.8 -0.9 -1.0 -0.9
2012 -0.7 -0.6 -0.4 -0.3 -0.2 0.0 0.3 0.4 0.4 0.3 0.1 0.0
2013 -0.2 -0.3 -0.2 -0.2 -0.3 -0.4 -0.4 -0.3 -0.3 -0.1 -0.1 -0.1
2014 -0.2 -0.2 0.0 0.3 0.4 0.2 0.1 0.1 0.2 0.5 0.7 0.8
2015 0.7 0.7 0.7 0.9 1.0 1.2 1.4 1.7 2.0 2.3 2.5 2.6
2016 2.5 2.2 1.7 1.1 0.6 0.1 -0.2 -0.3 -0.4 -0.5 -0.5 -0.4
2017 -0.1 0.1 0.3 0.3 0.4 0.3 0.1 -0.1 -0.2 -0.4 -0.6 -0.8
2018 -0.7 -0.7 -0.5 -0.3 -0.1 0.1 0.2 0.3 0.5 0.8 1.0 1.1
2019 1.0 0.9 0.9 0.8 0.7 0.6 0.4 0.2 0.3 0.5 0.7 0.8
Year DJF JFM FMA MAM AMJ MJJ JJA JAS ASO SON OND NDJ
2020 0.7 0.7 0.6 0.3 0.0 -0.2 -0.3 -0.4 -0.8 -1.0 -1.1 -1.1
2021 -1.0 -0.9 -0.7 -0.6 -0.4 -0.3 -0.3 -0.5 -0.6 -0.8 -0.9 -0.8
2022 -0.8 -0.7 -0.8 -0.9 -0.8 -0.7 -0.7 -0.8 -0.9 -0.9 -0.8 -0.7
2023 -0.5 -0.3 -0.1 0.2 0.5 0.7 1.0 1.3 1.5 1.7 1.9 2.0
2024 1.8 1.5 1.2 0.8 0.4 0.2 0.1 0.0 -0.1 -0.2 -0.3 -0.4
2025 -0.5 -0.2 -0.1 0.0 0.0 0.0 -0.1 -0.3 -0.4 -0.6 -0.6 -0.6
2026 -0.4 -0.2 0.1 0.5 0.9 1.4
